Rank,Title,Artist,Production
135,사랑해 진짜,임영웅,물고기뮤직
136,"HUG (Feat. Zion.T, 원슈타인) (Prod. by Slom)",이영지,Stone Music Entertainment
137,Big world,백예린,블루바이닐
138,너를 생각해,주시크 (Joosiq),뮤직레시피
139,LAW (Prod. Czaer),"윤미래, 비비(BIBI)",Stone Music Entertainment
140,이루리,우주소녀,스타쉽엔터테인먼트
141,STEP,카라 (KARA),DSP미디어
142,I`m Not The Only One,Sam Smith,Capitol Records
143,비싼 숙취,이승윤,MAREUMO
144,연애편지,임영웅,물고기뮤직
145,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",NEOKIDZ
146,Talk that Talk,TWICE,JYP Entertainment
147,GANADARA (Feat. 아이유),박재범,MORE VISION
148,어른,Sondia,Stone Music Entertainment
149,"Flick (Feat. BE`O (비오), 김하온 (HAON)) (Prod. GroovyRoom)",노윤하,Stone Music Entertainment
150,Blueming,아이유 (IU),Kakao Entertainment
151,보금자리,임영웅,물고기뮤직
152,Birthday,레드벨벳(Red Velvet),SM Entertainment
153,2002,Anne-Marie,Atlantic Records UK
154,GHOST TOWN,Benson Boone,Warner Records
155,라일락,아이유 (IU),EDAM엔터테인먼트
156,Last Christmas,Ariana Grande,Universal Music
157,"Way up (Feat. CAMO, 저스디스 (JUSTHIS)) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
158,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트
159,팡파레,다비치,WAKEONE
160,입김 (Take My Breath),NCT DREAM,SM Entertainment
161,Weekend,태연 (TAEYEON),SM Entertainment
162,"BLUE CHECK (Feat. 박재범, 제시) (Prod. by Slom)",토이고 (toigo),Stone Music Entertainment
163,몇 번의 이별,#안녕,Warner Music
164,Loving You Girl (Feat. Hkeem),Peder Elias,Columbia
165,When I Get Old,"Christopher, 청하",Parlophone Denmark
166,MY BAG,(여자)아이들,큐브엔터테인먼트
167,그래서 그대는,이영현,방구석 캐스팅
168,바보에게 바보가 (웹툰 `연애의 발견` X 이석훈),이석훈,TOON STUDIO
169,통화연결음,"보라미유, MJ",프로젝트 리본
170,KICK BACK,Kenshi Yonezu,Sony Music Labels Inc.
171,듣고 싶을까,MSG워너비(M.O.M),NK Company
172,선물,멜로망스(Melomance),"민트페이퍼, 광합성"
173,겨울잠,아이유 (IU),EDAM엔터테인먼트
174,Bad Habits,Ed Sheeran,Atlantic Records UK
175,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),EDAM엔터테인먼트
176,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),Stone Music Entertainment
177,I Ain`t Worried,OneRepublic,Interscope Records
178,Bad,Christopher,Parlophone Denmark
179,거리에서,성시경,제로원인터랙티브
180,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
181,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),MAKTUB Company
182,Impurities,LE SSERAFIM (르세라핌),쏘스뮤직
183,시작,가호 (Gaho),블렌딩
184,고백,멜로망스(Melomance),"카카오엔터테인먼트, 민트페이퍼, 광합성"
185,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,페포니 뮤직
186,눈사람,정승환,안테나뮤직
187,바라만 본다,MSG워너비(M.O.M),유야호
188,그중에 그대를 만나,김호중,캔버스뮤직
189,Love Yourself,Justin Bieber,"Def Jam Recordings, a division of UMG Recordings, Inc"
190,취기를 빌려 (취향저격 그녀 X 산들),산들,TOON STUDIO
191,See you ! (Feat. SOLE (쏠)) (Prod. R.Tee),허성현 (Huh),Stone Music Entertainment
192,"Diamonds (Feat. 릴보이 (lIlBOI), Spray)",Blase (블라세),Stone Music Entertainment
193,너였다면,정승환,Stone Music Entertainment
194,Vancouver,BIG Naughty (서동현),H1GHR MUSIC
195,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),MAKTUB Company
196,Crazy,Gnarls Barkley,Warner Music
197,들꽃놀이 (with 조유진),RM,BIGHIT MUSIC
198,One Call Away,Charlie Puth,Artist Partners
199,헤픈 우연,헤이즈 (Heize),피네이션
200,늦은 밤 너의 집 앞 골목길에서,노을,씨제스엔터테인먼트
1,Ditto,NewJeans,ADOR
2,OMG,NewJeans,ADOR
3,사건의 지평선,윤하,C9엔터테인먼트
4,Hype boy,NewJeans,ADOR
5,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
6,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
7,Candy,NCT DREAM,SM Entertainment
8,Attention,NewJeans,ADOR
9,After LIKE,IVE (아이브),스타쉽엔터테인먼트
10,Nxde,(여자)아이들,큐브엔터테인먼트
11,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
13,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
14,Monologue,테이 (Tei),방구석 캐스팅
15,Beautiful Liar,몬스타엑스,스타쉽엔터테인먼트
16,Cookie,NewJeans,ADOR
17,너의 모든 순간,성시경,SBS 콘텐츠허브
18,Shut Down,BLACKPINK,YG Entertainment
19,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
20,그대를 알고,송하예,디스튜디오
21,사랑은 늘 도망가,임영웅,모스트콘텐츠
22,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
23,WHEN I MOVE,카라 (KARA),RBW
24,해요 (2022),#안녕,일팔 프로젝트
25,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
26,사랑인가 봐,멜로망스(Melomance),플렉스엠
27,Pink Venom,BLACKPINK,YG Entertainment
28,VIBE (feat. Jimin of BTS),태양,The Black Label
29,잘가요,주호,레이벡스
30,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
31,TOMBOY,(여자)아이들,큐브엔터테인먼트
32,Say I Love You,우디(Woody),메이저나인
33,그라데이션,10cm,매직스트로베리사운드
34,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
35,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
36,취중고백,김민석,프로젝트 리본
37,내가 아니라도,주호,IN A MILLION
38,나의 X에게,경서,꿈의엔진
39,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
40,오르트구름,윤하,C9엔터테인먼트
41,That`s Hilarious,Charlie Puth,Atlantic Records UK
42,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
43,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
44,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
45,첫사랑,백아,Baek A
46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
47,보고싶었어,WSG워너비 (4FIRE),MBC
48,Stay,"The Kid LAROI, Justin Bieber",Columbia
49,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
50,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
51,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
52,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
53,주저하는 연인들을 위해,잔나비,페포니 뮤직
54,Snowman,Sia,"Monkey Puzzle, Atlantic"
55,우리들의 블루스,임영웅,물고기뮤직
56,밤하늘의 별을(2020),경서,꿈의엔진
57,우린 그렇게 사랑해서,"강민경, 잔나비","WAKEONE, 페포니뮤직"
58,떠나보낼 준비해 둘걸 그랬어,임한별,오늘의 선곡
59,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang",Stone Music Entertainment
60,도깨비불 (Illusion),aespa,SM Entertainment
61,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
62,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
63,그 겨울이 잠든 거리에서,"경서예지, 전건호",에버그로우
64,새벽에 걸려온 너의 전화는,한동근,말하는
65,아픈 나를,성시경,롱플레이뮤직
66,FOREVER 1,소녀시대,SM Entertainment
67,다시 만날 수 있을까,임영웅,물고기뮤직
68,That That (prod. & feat. SUGA of BTS),싸이 (Psy),피네이션
69,Unholy,"Sam Smith, Kim Petras",EMI
70,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),YG Entertainment
71,Love story,볼빨간사춘기,쇼파르엔터테인먼트
72,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
73,Dynamite,방탄소년단,BIGHIT MUSIC
74,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
75,Made You Look,Meghan Trainor,Epic
76,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,Stone Music Entertainment
77,이 소설의 끝을 다시 써보려 해,테이 (Tei),메모리즈 프로젝트
78,드라마,아이유 (IU),EDAM엔터테인먼트
79,SNEAKERS,ITZY (있지),JYP Entertainment
80,봄날,방탄소년단,BIGHIT MUSIC
81,Off My Face,Justin Bieber,RBMG/Def Jam
82,Butter,방탄소년단,BIGHIT MUSIC
83,Feel My Rhythm,레드벨벳(Red Velvet),SM Entertainment
84,strawberry moon,아이유 (IU),EDAM엔터테인먼트
85,신호등,이무진,쇼플레이
86,흩어지지 않게,엠씨더맥스 (M.C the MAX),325 이엔씨
87,무지개,임영웅,물고기뮤직
88,London Boy,임영웅,물고기뮤직
89,스티커 사진,21학번,제나두 엔터테인먼트
90,Dangerously,Charlie Puth,Artist Partners
91,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,Stone Music Entertainment
92,INVU,태연 (TAEYEON),SM Entertainment
93,아버지,임영웅,물고기뮤직
94,Graduation,NCT DREAM,SM Entertainment
95,Next Level,aespa,SM Entertainment
96,눈의 꽃 (雪の華),마크툽 (Maktub),MAKTUB Company
97,Polaroid,임영웅,물고기뮤직
98,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
99,Permission to Dance,방탄소년단,BIGHIT MUSIC
100,POP!,나연 (TWICE),JYP Entertainment
101,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
102,사랑한다고 말해줘,탑현,탑현월드
103,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,Stone Music Entertainment
