n,담당자,Artist,dcinside_ID,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
195,현창민,AB6IX (에이비식스),brandnewboys,,,,,,,
196,현창민,I.M (아이엠),im6,,,,,,,
197,현창민,적재,jukjae,,,,,,,
198,현창민,이예준,leeyejun,,,,,,,
199,현창민,Ayumu Imazu,,,,,,,,
200,박재형,원슈타인 (Wonstein),wonstein,,,,,,,
201,박재형,창모 (CHANGMO),changmo,,,,,,,
202,박재형,Benson Boone,,,,,,,,
203,박재형,비비(BIBI),solobibi,,,,,,,
204,박재형,텐(TEN),ten,,,,,,,
205,박재형,산들,,,,,,,,
206,박재형,주시크 (Joosiq),,,,,,,,
207,박재형,싸이 (Psy),psy,,,,,,,
208,박재형,이창섭,changsub,,,,,,,
209,박재형,유겸 (YUGYEOM),yugyeom,,,,,,,
210,박재형,이보람,dlqhfka,,,,,,,
211,박재형,태용 (TAEYONG),tylee,,,,,,,
212,박재형,CRAVITY,cravity,,,,,,,
213,박재형,Natalie Jane,,,,,,,,
214,박재형,승관 (SEVENTEEN),17seungkwan,,,,,,,
215,박재형,조민규,chomingyu,,,,,,,
216,박재형,Peder Elias,pederelias,,,,,,,
217,박재형,Men`s Tear (맨스티어),menstear,,,,,,,
218,박재형,Alaina Castillo,,,,,,,,
219,박재형,정서주,seoju,,,,,,,
220,박재형,장범준,beomjune,,,,,,,
221,박재형,하이라이트(Highlight),highlight,,,,,,,
222,박재형,청하,ch_freemonth,,,,,,,
223,박재형,웬디 (WENDY),wendy,,,,,,,
224,박재형,태일 (TAEIL),nct_taeil,,,,,,,
225,박재형,"HIGH4, 아이유 (IU)",,,,,,,,
226,박재형,버스커 버스커 (Busker Busker),buskerbusker,,,,,,,
227,박재형,스탠딩 에그(Standing Egg),standingegg,,,,,,,
228,박재형,김종국,kimjongkook,,,,,,,
229,박재형,LUCY,superband_lucy,,,,,,,
230,박재형,Creepy Nuts,creepynuts,,,,,,,
231,박재형,고요,,,,,,,,
232,박재형,아일릿(ILLIT),illit,,,,,,,
233,박재형,MAX,,,,,,,,
234,박재형,SUPER JUNIOR-D&E (동해&은혁),,,,,,,,
235,박재형,케이윌 (K.Will),kwill,,,,,,,
236,박재형,BIGBANG (빅뱅),bigbang,,,,,,,
237,박재형,순순희(지환),soonsoonhee,,,,,,,
