date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on
2023-09-24,73,뉴진스,ASAP,ADOR,2:14,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,74,방탄소년단,Dynamite,BIGHIT MUSIC,3:19,가요 / 댄스,4712538.0,69.9992,13.0,False
2023-09-24,75,임영웅,우리들의 블루스,물고기뮤직,3:27,가요 / 발라드,5430728.0,51.15188,30.0,False
2023-09-24,76,이무진,잠깐 시간 될까,"BIGPLANETMADE, SWING ENTERTAINMENT",3:48,가요 / 락,1681594.0,34.29025,27.0,False
2023-09-24,77,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",SM Entertainment,3:31,OST / 드라마,2211380.0,4.96729,20.0,False
2023-09-24,78,찰리 푸스,That`s Hilarious,Atlantic Records UK,2:27,POP / 팝,3727492.0,15.56366,13.0,False
2023-09-24,79,제이세라,사랑의 바보,"투플원 엔터테인먼트, 제나두엔터테인먼트",3:54,가요 / 발라드,0.0,50.83702,13.0,False
2023-09-24,80,어거스트 디,사람 Pt.2 (feat. 아이유),BIGHIT MUSIC,3:34,가요 / R&B/소울,0.0,70.44854,0.0,False
2023-09-24,81,테이,Monologue,방구석 캐스팅,4:22,가요 / 발라드,0.0,69.42807,15.0,True
2023-09-24,82,지아,사랑..그게 뭔데,니즈뮤직,3:46,가요 / 발라드,1717017.0,45.81447,81.0,False
2023-09-24,83,임영웅,이제 나만 믿어요,"TV CHOSUN, 쇼플레이",4:03,가요 / 트로트,5430728.0,51.15188,30.0,False
2023-09-24,84,여자 아이들,TOMBOY,큐브엔터테인먼트,2:54,가요 / 락,4015230.0,17.8133,3.0,False
2023-09-24,84,여자 아이들,TOMBOY,큐브엔터테인먼트,2:54,가요 / 락,4015230.0,17.8133,12.0,False
2023-09-24,85,오마이걸,여름이 들려 (Summer Comes),WM엔터테인먼트,3:21,가요 / 전체,1818769.0,25.7008,52.0,False
2023-09-24,86,10cm,그라데이션,매직스트로베리사운드,3:21,가요 / 인디,3657222.0,28.42956,0.0,False
2023-09-24,87,경서,첫 키스에 내 심장은 120BPM,꿈의엔진,3:19,가요 / 인디,1586369.0,36.06336,35.0,False
2023-09-24,88,뷔,Rainy Days,BIGHIT MUSIC,3:00,가요 / R&B/소울,9874062.0,50.62411,0.0,False
2023-09-24,89,방탄소년단,봄날,BIGHIT MUSIC,4:34,가요 / 댄스,4712538.0,69.9992,13.0,False
2023-09-24,90,도자 캣,Paint The Town Red,Kemosabe Records/RCA Records,3:52,POP / 랩/힙합,1492017.0,94.16028,94.0,False
2023-09-24,91,던,빛이 나는 너에게,AT AREA,2:55,가요 / R&B/소울,0.0,5.30215,100.0,False
2023-09-24,92,권은비,Underwater,울림 엔터테인먼트,2:51,가요 / 댄스,0.0,99.28034,100.0,False
2023-09-24,93,바이브,가을 타나 봐,메이저나인,3:52,가요 / 발라드,0.0,90.40838,65.0,False
2023-09-24,94,방탄소년단,Butter,BIGHIT MUSIC,2:44,가요 / 댄스,4712538.0,69.9992,13.0,False
2023-09-24,95,임영웅,다시 만날 수 있을까,물고기뮤직,4:34,가요 / 발라드,5430728.0,51.15188,30.0,False
2023-09-24,98,너드커넥션,좋은 밤 좋은 꿈,ES Records,4:26,가요 / 인디,0.0,38.12224,81.0,False
2023-09-24,100,악뮤,DINOSAUR,YG Entertainment,4:01,가요 / 일렉트로니카,11929992.0,94.32015,100.0,False
2023-09-24,101,엔시티 드림,ISTJ,SM Entertainment,3:05,가요 / 댄스,2295308.0,31.20076,2.0,False
2023-09-24,102,아이유,밤편지,"페이브엔터테인먼트,카카오 M",4:13,가요 / 발라드,7814217.0,35.75378,80.0,False
2023-09-24,103,이세계 아이돌,OVER,패러블엔터테인먼트,3:28,가요 / 댄스,0.0,100.0,100.0,False
2023-09-24,104,찰리 푸스,That`s Not How This Works (feat. Dan + Shay),Atlantic Records,2:46,POP / 팝,3727492.0,15.56366,13.0,False
2023-09-24,105,릴러말즈,거리에서 (Feat. ASH ISLAND),Ambition Musik,3:29,가요 / 랩/힙합,4067143.0,30.24925,30.0,False
2023-09-24,106,보이넥스트도어,뭣 같아,KOZ 엔터테인먼트,2:55,가요 / 댄스,0.0,47.23514,26.0,False
2023-09-24,107,라이즈,Memories,SM Entertainment,2:58,가요 / 댄스,0.0,40.51547,44.0,False
2023-09-24,108,임재현,Heaven(2023),캔버스뮤직,4:40,OST / 드라마,0.0,11.06192,0.0,False
2023-09-24,109,아이브,ELEVEN,스타쉽엔터테인먼트,2:58,가요 / 댄스,9874062.0,65.02992,48.0,False
2023-09-24,110,요아소비,アイドル,요아소비,3:33,J-POP / 팝,0.0,48.61054,29.0,False
2023-09-24,111,성시경,희재,씨에스해피엔터테인먼트,4:42,OST / 한국영화,3555336.0,45.05305,13.0,True
2023-09-24,111,성시경,희재,씨에스해피엔터테인먼트,4:42,OST / 한국영화,3555336.0,45.05305,16.0,True
2023-09-24,112,여자 아이들,Nxde,큐브엔터테인먼트,2:58,가요 / 댄스,4015230.0,17.8133,3.0,False
2023-09-24,113,서동현,정이라고 하자 (Feat. 10CM),H1GHR MUSIC,3:09,가요 / 인디,4863178.0,29.37908,38.0,False
2023-09-24,114,임영웅,무지개,물고기뮤직,3:16,가요 / 전체,5430728.0,51.15188,30.0,False
2023-09-24,115,블랙핑크,Shut Down,YG Entertainment,2:56,가요 / 랩/힙합,4668125.0,63.54764,10.0,False
2023-09-24,116,경서,나의 X에게,꿈의엔진,3:08,가요 / 인디,1586369.0,36.06336,35.0,False
2023-09-24,117,데이식스,한 페이지가 될 수 있게,JYP Entertainment,3:26,가요 / 락,2954926.0,7.45101,9.0,False
2023-09-24,119,백아,첫사랑,Baek A,3:09,가요 / 블루스/포크,0.0,85.83268,50.0,False
2023-09-24,120,이마세,NIGHT DANCER,Universal Music,3:31,J-POP / 팝,0.0,51.10384,0.0,False
2023-09-24,121,서동현,Vancouver,H1GHR MUSIC,3:36,가요 / R&B/소울,4863178.0,29.37908,38.0,False
2023-09-24,122,데이식스,예뻤어,JYP Entertainment,4:43,가요 / 락,2954926.0,7.45101,9.0,False
2023-09-24,123,여자 아이들,Allergy,큐브엔터테인먼트,2:43,가요 / 댄스,4015230.0,17.8133,3.0,False
2023-09-24,127,임영웅,아버지,물고기뮤직,3:58,가요 / 발라드,5430728.0,51.15188,30.0,False
2023-09-24,128,영탁,폼미쳤다,탁스튜디오,2:47,가요 / 댄스,0.0,87.95757,51.0,False
2023-09-24,129,이세계 아이돌,Superhero,패러블엔터테인먼트,2:56,가요 / 댄스,0.0,100.0,100.0,False
2023-09-24,130,주호,내가 아니라도,IN A MILLION,4:08,가요 / 발라드,0.0,10.8239,3.0,True
2023-09-24,131,임영웅,London Boy,물고기뮤직,4:04,가요 / 락,5430728.0,51.15188,30.0,False
2023-09-24,132,저스틴 비버,Off My Face,RBMG/Def Jam,2:37,POP / 팝,2780062.0,49.83227,15.0,False
