date,Title,Artist,변환한이름,Score
2024-01-07,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,10.0
2024-01-14,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-01-21,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-01-28,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-02-04,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-02-11,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2024-02-18,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2024-02-25,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-03-03,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-03-10,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-03-17,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-03-24,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,3.0
2024-03-31,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-04-07,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-04-14,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-04-21,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,3.0
2024-04-28,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,3.0
2024-05-05,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,5.0
2024-05-12,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,4.0
2024-05-19,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-05-26,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-06-02,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,6.0
2024-06-09,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,8.0
2024-06-16,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,18.0
2024-06-23,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,23.0
2024-06-30,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,17.0
2024-07-07,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,15.0
2024-07-14,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,11.0
2024-07-21,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,11.0
2024-07-28,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,이영지,10.0
