date,Rank,Title,Artist,Production
2023-09-24,180,사랑해 진짜,임영웅,물고기뮤직
2023-09-24,181,Shape of You,Ed Sheeran,Atlantic Records UK
2023-09-24,182,All For You,"정은지, 서인국","젤리피쉬엔터테인먼트, 에이큐브엔터테인먼트"
2023-09-24,183,보금자리,임영웅,물고기뮤직
2023-09-24,184,연애편지,임영웅,물고기뮤직
2023-09-24,185,yours,데이먼스 이어 (Damons Year),Akashic Records
2023-09-24,186,Love Me Like This,NMIXX,JYP Entertainment
2023-09-24,187,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),MAKTUB Company
2023-09-24,188,드라마,아이유 (IU),EDAM엔터테인먼트
2023-09-24,189,One Call Away,Charlie Puth,Artist Partners
2023-09-24,190,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),Stone Music Entertainment
2023-09-24,191,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
2023-09-24,192,어디에도,엠씨더맥스 (M.C The Max),뮤직앤뉴
2023-09-24,193,BETELGEUSE,Yuuri,Sony Music Labels Inc.
2023-09-24,194,Celebrity,아이유 (IU),EDAM엔터테인먼트
2023-09-24,195,마지막처럼,BLACKPINK,YG Entertainment
2023-09-24,196,Blueming,아이유 (IU),Kakao Entertainment
2023-09-24,197,신호등,이무진,쇼플레이
2023-09-24,198,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
2023-09-24,199,Square (2017),백예린,블루바이닐
2023-09-24,200,INVU,태연 (TAEYEON),SM Entertainment
2023-10-01,1,Love Lee,AKMU (악뮤),YG Entertainment
2023-10-01,2,Fact Check (불가사의; 不可思議),NCT 127,SM Entertainment
2023-10-01,3,후라이의 꿈,AKMU (악뮤),YG Entertainment
2023-10-01,4,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오 (Dynamic Duo), 이영지",Stone Music Entertainment
2023-10-01,5,Seven (feat. Latto) - Clean Ver.,정국,BIGHIT MUSIC
2023-10-01,6,Super Shy,NewJeans,ADOR
2023-10-01,7,ETA,NewJeans,ADOR
2023-10-01,8,3D (feat. Jack Harlow),정국,BIGHIT MUSIC
2023-10-01,9,Fast Forward,전소미,The Black Label
2023-10-01,10,헤어지자 말해요,박재정,로맨틱팩토리
2023-10-01,11,I Love My Body,화사(Hwa Sa),피네이션
2023-10-01,12,사막에서 꽃을 피우듯,우디(Woody),메이저나인
2023-10-01,13,I AM,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,14,Either Way,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,15,Bubble,STAYC(스테이씨),하이업엔터테인먼트
2023-10-01,16,퀸카 (Queencard),(여자)아이들,큐브엔터테인먼트
2023-10-01,17,Hype boy,NewJeans,ADOR
2023-10-01,18,Get A Guitar,RIIZE,SM Entertainment
2023-10-01,19,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),쏘스뮤직
2023-10-01,20,Steal The Show (From “엘리멘탈”),Lauv,Walt Disney Records
2023-10-01,21,Spicy,aespa,SM Entertainment
2023-10-01,22,Ditto,NewJeans,ADOR
2023-10-01,23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,TOON STUDIO
2023-10-01,24,Kitsch,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,25,New Jeans,NewJeans,ADOR
2023-10-01,26,사건의 지평선,윤하,C9엔터테인먼트
2023-10-01,27,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),쏘스뮤직
2023-10-01,28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
2023-10-01,29,Still With You,정국,BIGHIT MUSIC
2023-10-01,30,Summer (Feat. BE`O (비오)),Paul Blanco,Ambition Musik
2023-10-01,31,Vancouver 2,BIG Naughty (서동현),H1GHR MUSIC
2023-10-01,32,After LIKE,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,33,OMG,NewJeans,ADOR
2023-10-01,34,너의 모든 순간,성시경,SBS 콘텐츠허브
2023-10-01,35,Attention,NewJeans,ADOR
2023-10-01,36,사랑은 늘 도망가,임영웅,모스트콘텐츠
2023-10-01,37,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,38,CAKE,ITZY (있지),JYP Entertainment
2023-10-01,39,주저하는 연인들을 위해,잔나비,페포니 뮤직
2023-10-01,40,I WANT,IVE (아이브),스타쉽엔터테인먼트
2023-10-01,41,심(心),DK,방구석 캐스팅
2023-10-01,42,나에게 그대만이,탑현,레이벡스
2023-10-01,43,사랑인가 봐,멜로망스(Melomance),플렉스엠
2023-10-01,44,Dangerously,Charlie Puth,Artist Partners
2023-10-01,45,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,GLG
2023-10-01,46,Slow Dancing,V,BIGHIT MUSIC
2023-10-01,47,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트
2023-10-01,48,손오공,세븐틴,플레디스
2023-10-01,49,취중고백,김민석,프로젝트 리본
2023-10-01,50,꽃,지수 (JISOO),YG Entertainment
2023-10-01,51,Cool With You,NewJeans,ADOR
2023-10-01,52,Love Me Again,V,BIGHIT MUSIC
2023-10-01,53,Baggy Jeans,NCT U,SM Entertainment
2023-10-01,54,사랑하지 않아서 그랬어,임한별,플렉스엠
2023-10-01,55,Somebody,디오 (D.O.),SM Entertainment
2023-10-01,56,물론,허각,니즈뮤직
2023-10-01,57,별 떨어진다 (I Do),디오 (D.O.),SM Entertainment
2023-10-01,58,Stay,"The Kid LAROI, Justin Bieber",Columbia
2023-10-01,59,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
2023-10-01,60,Click Like (Prod. Crush) (Feat. Paul Blanco),크러쉬 (CRUSH),Stone Music Entertainment
2023-10-01,61,Better Things,aespa,SM Entertainment
2023-10-01,62,KIDDING,이세계 아이돌,J Major
2023-10-01,63,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
2023-10-01,64,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
