,date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on,Genre_split,J-POP,Soul,Trot,Pop,OriginalSoundtrack,Hip-Hop,Rap,Drama,Electronica,Rock,KoreanMovies,R&B,Ballad,Classical,Indie,All,Crossover,Jazz,Blues,K-Pop,Folk,Dance,Traditional,season_autumn,season_spring,season_summer,season_winter
41,2023-09-24,42,찰리 푸스,Dangerously,Artist Partners,-5.4680551504319075,POP/팝,-1.0118848914327128,-0.0025269815161564485,0.0013000000000000002,0,"['Pop', 'Pop']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,2023-09-24,43,뷔,Slow Dancing,BIGHIT MUSIC,-5.476334131397348,가요/R&B/소울,-1.0118844679729881,0.001007557122140853,0.0,0,"['K-Pop', 'R&B', 'Soul']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,2023-09-24,44,멜로망스,사랑인가 봐,플렉스엠,-5.477713961558255,OST/드라마,-1.011884978233355,0.0010427830958803187,0.0011,0,"['OriginalSoundtrack', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,2023-09-24,45,스테이씨,Teddy Bear,하이업엔터테인먼트,-5.474264386155988,가요/댄스,-1.0118849233353016,0.0025458742460785283,0.0017000000000000001,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
45,2023-09-24,46,뉴진스,Cool With You,ADOR,-5.503240819535028,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
46,2023-09-24,47,세븐틴,손오공,플레디스,-5.467365235351454,가요/댄스,-1.0118848658372013,-0.0004898189560772455,0.005,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
47,2023-09-24,48,크러쉬,Click Like (Prod. Crush) (Feat. Paul Blanco),Stone Music Entertainment,-5.490822348086868,가요/R&B/소울,-1.0118850026564343,-0.002743012043506237,0.0027,0,"['K-Pop', 'R&B', 'Soul']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48,2023-09-24,49,하이키,건물 사이에 피어난 장미 (Rose Blossom),GLG,-5.470124895673268,가요/댄스,-1.011885148233292,-0.0010797980651646253,0.0,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
49,2023-09-24,50,지수,꽃,YG Entertainment,-5.485992942523694,가요/댄스,-1.011885148233292,0.0007078208016034525,0.0067,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
50,2023-09-24,50,지수,꽃,YG Entertainment,-5.485992942523694,가요/댄스,-1.011885148233292,0.0007078208016034525,0.0005,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
51,2023-09-24,51,뷔,Love Me Again,BIGHIT MUSIC,-5.479783706799614,가요/R&B/소울,-1.0118844679729881,0.001007557122140853,0.0,0,"['K-Pop', 'R&B', 'Soul']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
52,2023-09-24,52,임한별,사랑하지 않아서 그랬어,플렉스엠,-5.450807273420574,가요/발라드,-1.0118850335743947,-0.0021159620882638683,0.0,1,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53,2023-09-24,53,김민석,취중고백,프로젝트 리본,-5.448047613098761,가요/발라드,-1.011885148233292,-0.0004134795469006875,0.0072,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54,2023-09-24,54,엔시티 유,Baggy Jeans,SM Entertainment,-5.459776169466467,가요/댄스,-1.0118850296885855,-0.0007598185544066159,0.0,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
55,2023-09-24,56,이세계 아이돌,KIDDING,J Major,-5.460466084546921,가요/전체,-1.011885148233292,0.005985273922846989,0.01,0,"['K-Pop', 'All']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
56,2023-09-24,58,에스파,Better Things,SM Entertainment,-5.465295490110094,가요/댄스,-1.0118848040648691,-0.0015327384382237143,0.0011,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
57,2023-09-24,59,르세라핌,ANTIFRAGILE,쏘스뮤직,-5.4784038766387075,가요/댄스,-1.0118848252397499,-0.0028025096829703716,0.0018,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
58,2023-09-24,60,허각,물론,니즈뮤직,-5.450807273420574,가요/발라드,-1.011884978140073,4.0147360647458004e-05,0.005700000000000001,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
59,2023-09-24,61,부석순,파이팅 해야지 (Feat. 이영지),플레디스,-5.463915659949188,가요/댄스,-1.0118848658372013,-0.0018402998405585443,0.0001,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
60,2023-09-24,62,찰리 푸스,I Don`t Think That I Like Her,Atlantic Records,-5.4749543012364414,POP/팝,-1.0118848914327128,-0.0025269815161564485,0.0013000000000000002,0,"['Pop', 'Pop']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,2023-09-24,63,디오,Somebody,SM Entertainment,-5.4956517536500415,가요/블루스/포크,-1.011885148233292,0.0036212241657850933,0.0063,0,"['K-Pop', 'Blues', 'Folk']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
62,2023-09-24,63,디오,Somebody,SM Entertainment,-5.4956517536500415,가요/블루스/포크,-1.011885148233292,0.0036212241657850933,0.0045000000000000005,0,"['K-Pop', 'Blues', 'Folk']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
63,2023-09-24,64,디오,별 떨어진다 (I Do),SM Entertainment,-5.492892093328227,가요/발라드,-1.011885148233292,0.0036212241657850933,0.0063,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
64,2023-09-24,65,케이시,사실말야내가말야그게그러니까말이야,넥스타엔터테인먼트,-5.484613112362788,가요/발라드,-1.011885148233292,-0.0006465141524103855,0.0047,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
65,2023-09-24,66,#안녕,해요 (2022),일팔 프로젝트,-5.441148462294228,가요/발라드,-1.011885148233292,-0.0027504348826294612,0.0059,1,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
66,2023-09-24,67,임영웅,모래 알갱이,물고기뮤직,-5.453566933742388,가요/발라드,-1.0118847740905452,0.0010607630409791508,0.003,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
67,2023-09-24,68,우효,민들레 (single ver.),문화인,-5.430799736087428,가요/인디,-1.011885148233292,0.005305916289926013,0.01,0,"['K-Pop', 'Indie']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
