Unnamed: 0,date,Rank,Title,Artist_x,Production,Weekly Views,Genre,Runtime,New_Artist,n_score,g_score,ky_chart_on,Artist_y,Date,Ratio
59,2023-09-24,58,Better Things,에스파,SM Entertainment,4995647.0,가요 / 댄스,3:23,에스파,25.42594,11.0,False,에스파,2023-09-24,25.42594
169,2023-09-24,163,Next Level,에스파,SM Entertainment,4995647.0,가요 / 댄스,3:42,에스파,25.42594,11.0,False,에스파,2023-09-24,25.42594
180,2023-09-24,173,Thirsty,에스파,SM Entertainment,4995647.0,가요 / R&B/소울,3:13,에스파,25.42594,11.0,False,에스파,2023-09-24,25.42594
21,2023-09-24,22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,TOON STUDIO,1925848.0,가요 / 발라드,4:18,로이킴,28.70222,34.0,False,로이킴,2023-09-24,28.70222
22,2023-09-24,23,사건의 지평선,윤하,C9엔터테인먼트,4339381.0,가요 / 락,5:01,윤하,25.3714,10.0,True,윤하,2023-09-24,25.3714
137,2023-09-24,133,오르트구름,윤하,C9엔터테인먼트,4339381.0,가요 / 락,3:27,윤하,25.3714,10.0,False,윤하,2023-09-24,25.3714
23,2023-09-24,24,Vancouver 2,BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / 락,3:22,서동현,29.37908,38.0,False,서동현,2023-09-24,29.37908
117,2023-09-24,113,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / 인디,3:09,서동현,29.37908,38.0,False,서동현,2023-09-24,29.37908
125,2023-09-24,121,Vancouver,BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / R&B/소울,3:36,서동현,29.37908,38.0,False,서동현,2023-09-24,29.37908
159,2023-09-24,155,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / R&B/소울,3:56,서동현,29.37908,38.0,False,서동현,2023-09-24,29.37908
27,2023-09-24,28,Summer (Feat. 비오 (비오)),폴 블랑코,Ambition Musik,2255000.0,가요 / 랩/힙합,3:20,폴 블랑코,96.72172,0.0,False,폴 블랑코,2023-09-24,96.72172
186,2023-09-24,179,그런 일은,폴 블랑코,Kakao Entertainment,2255000.0,가요 / R&B/소울,4:27,폴 블랑코,96.72172,0.0,False,폴 블랑코,2023-09-24,96.72172
28,2023-09-24,29,Get A Guitar,라이즈,SM Entertainment,0.0,가요 / 댄스,2:40,라이즈,40.51547,44.0,False,라이즈,2023-09-24,40.51547
110,2023-09-24,107,Memories,라이즈,SM Entertainment,0.0,가요 / 댄스,2:58,라이즈,40.51547,44.0,False,라이즈,2023-09-24,40.51547
