date,Rank,Artist,Weekly Views
2023-10-01,38,ITZY (있지),2506828.0
2023-10-01,39,잔나비,3216975.0
2023-10-01,40,IVE (아이브),9619194.0
2023-10-01,41,DK,
2023-10-01,42,탑현,
2023-10-01,43,멜로망스(Melomance),2274284.0
2023-10-01,44,Charlie Puth,3456353.0
2023-10-01,45,H1-KEY,
2023-10-01,46,V,9619194.0
2023-10-01,47,STAYC(스테이씨),2937867.0
2023-10-01,48,세븐틴,3714506.0
2023-10-01,49,김민석,
2023-10-01,50,지수 (JISOO),
2023-10-01,51,NewJeans,10594372.0
2023-10-01,52,V,9619194.0
2023-10-01,53,NCT U,1492492.0
2023-10-01,54,임한별,1530717.0
2023-10-01,55,디오 (D.O.),
2023-10-01,56,허각,2327577.0
2023-10-01,57,디오 (D.O.),
2023-10-01,58,"The Kid LAROI, Justin Bieber",
2023-10-01,59,"경서예지, 전건호",1470418.0
2023-10-01,60,크러쉬 (CRUSH),1789308.0
2023-10-01,61,aespa,4592750.0
2023-10-01,62,이세계 아이돌,
2023-10-01,63,LE SSERAFIM (르세라핌),4335304.0
2023-10-01,64,Charlie Puth,3456353.0
2023-10-01,65,#안녕,
2023-10-01,66,부석순 (SEVENTEEN),3714506.0
2023-10-01,67,제니 (JENNIE),
2023-10-01,68,케이시 (Kassy),1389356.0
2023-10-01,69,우효 (OOHYO),
2023-10-01,70,영탁,1392209.0
2023-10-01,71,임영웅,5206668.0
2023-10-01,72,지민,
2023-10-01,73,"김연지, DK",
2023-10-01,74,NCT DREAM,2086581.0
2023-10-01,75,방탄소년단,4316760.0
2023-10-01,76,임영웅,5206668.0
2023-10-01,77,FIFTY FIFTY,
2023-10-01,78,폴킴,1982240.0
2023-10-01,79,이무진,1647060.0
2023-10-01,80,바이브 (Vibe),
2023-10-01,81,Charlie Puth,3456353.0
2023-10-01,82,제이세라 (J-Cera),
2023-10-01,83,NewJeans,10594372.0
2023-10-01,84,지아 (Zia),1540778.0
2023-10-01,85,케이시 (Kassy),1389356.0
2023-10-01,86,Doja Cat,1404231.0
2023-10-01,87,임영웅,5206668.0
2023-10-01,88,김호중,
2023-10-01,89,"Zac Efron, Zendaya",
2023-10-01,90,(여자)아이들,3644521.0
2023-10-01,91,테이 (Tei),
2023-10-01,92,V,9619194.0
2023-10-01,93,임영웅,5206668.0
2023-10-01,94,Agust D,
2023-10-01,95,"정국, 방탄소년단",7296860.0
2023-10-01,96,방탄소년단,4316760.0
2023-10-01,97,임영웅,5206668.0
2023-10-01,98,방탄소년단,4316760.0
2023-10-01,99,10cm,3409747.0
2023-10-01,100,릴러말즈 (Leellamarz),3860190.0
2023-10-01,101,너드커넥션 (Nerd Connection),
2023-10-01,102,던 (DAWN),
2023-10-01,103,권은비,
2023-10-01,104,오마이걸 (OH MY GIRL),1672935.0
2023-10-01,105,미연 ((여자)아이들),3644521.0
2023-10-01,106,IVE (아이브),9619194.0
2023-10-01,107,경서,1470418.0
2023-10-01,108,RIIZE,1664995.0
2023-10-01,109,"NewJeans, League of Legends",2150564.0
2023-10-01,110,Yyeon,
2023-10-01,111,아이유 (IU),7120192.0
2023-10-01,112,AKMU (악뮤),11053352.0
2023-10-01,113,Charlie Puth,3456353.0
2023-10-01,114,"다이나믹 듀오 (Dynamic Duo), DJ Premier",3776413.0
2023-10-01,115,BOYNEXTDOOR,
2023-10-01,116,IVE (아이브),9619194.0
2023-10-01,117,임재현,
2023-10-01,118,성시경,3182968.0
2023-10-01,119,BIG Naughty (서동현),4088242.0
2023-10-01,120,(여자)아이들,3644521.0
2023-10-01,121,잔나비,3216975.0
2023-10-01,122,BLACKPINK,4260998.0
2023-10-01,123,백아,
2023-10-01,124,YOASOBI,
2023-10-01,125,임영웅,5206668.0
2023-10-01,126,경서,1470418.0
2023-10-01,127,릴러말즈 (Leellamarz),3860190.0
2023-10-01,128,DAY6,2660238.0
2023-10-01,129,임영웅,5206668.0
2023-10-01,130,DAY6,2660238.0
2023-10-01,131,NCT DREAM,2086581.0
2023-10-01,132,imase,
2023-10-01,133,"DK, 김연지",
2023-10-01,134,최유리,1594840.0
2023-10-01,135,"Christopher, 청하",1383252.0
2023-10-01,136,Justin Bieber,2567211.0
2023-10-01,137,방탄소년단,4316760.0
2023-10-01,138,"j-hope,  J. Cole",
2023-10-01,139,dori,
2023-10-01,140,김호중,
2023-10-01,141,BIG Naughty (서동현),4088242.0
2023-10-01,142,임영웅,5206668.0
2023-10-01,143,주호,
2023-10-01,144,(여자)아이들,3644521.0
2023-10-01,145,김호중,
2023-10-01,146,방탄소년단,4316760.0
2023-10-01,147,비투비 (BTOB),1801825.0
2023-10-01,148,임영웅,5206668.0
