artist,week,ratio
전소미,2023-10-16,34.66036
전소미,2023-10-23,42.15165
전소미,2023-10-30,38.45403
전소미,2023-11-06,34.73317
전소미,2023-11-13,31.14553
전소미,2023-11-20,22.81155
전소미,2023-11-27,48.33397
전소미,2023-12-04,27.97459
전소미,2023-12-11,25.462
전소미,2023-12-18,20.98055
전소미,2023-12-25,22.16094
전소미,2024-01-01,22.29416
전소미,2024-01-08,20.41979
전소미,2024-01-15,19.48106
전소미,2024-01-22,20.74819
전소미,2024-01-29,19.95042
전소미,2024-02-05,20.50189
전소미,2024-02-12,19.65765
전소미,2024-02-19,18.05127
전소미,2024-02-26,17.9134
전소미,2024-03-04,21.41119
전소미,2024-03-11,19.78622
전소미,2024-03-18,13.1872
전소미,2024-03-25,20.85973
전소미,2024-04-01,100.0
전소미,2024-04-08,21.36008
전소미,2024-04-15,15.79583
전소미,2024-04-22,15.31872
전소미,2024-04-29,15.87173
전소미,2024-05-06,18.8351
전소미,2024-05-13,14.57207
전소미,2024-05-20,14.86484
전소미,2024-05-27,14.17241
전소미,2024-06-03,12.44365
전소미,2024-06-10,13.29563
전소미,2024-06-17,13.22438
전소미,2024-06-24,11.42746
전소미,2024-07-01,21.38796
전소미,2024-07-08,13.44744
전소미,2024-07-15,12.53194
전소미,2024-07-22,14.55348
전소미,2024-07-29,27.95135
전소미,2024-08-05,33.81457
전소미,2024-08-12,45.17698
전소미,2024-08-19,30.14638
전소미,2024-08-26,21.83254
전소미,2024-09-02,18.00944
박재정,2023-09-18,41.60554
박재정,2023-09-25,31.2917
박재정,2023-10-02,35.85812
박재정,2023-10-09,29.25073
박재정,2023-10-16,31.23723
박재정,2023-10-23,32.70229
박재정,2023-10-30,39.51787
박재정,2023-11-06,38.90304
박재정,2023-11-13,55.57328
박재정,2023-11-20,47.14088
박재정,2023-11-27,100.0
박재정,2023-12-04,70.0858
박재정,2023-12-11,50.82592
박재정,2023-12-18,42.31959
박재정,2023-12-25,37.82127
박재정,2024-01-01,41.15609
박재정,2024-01-08,36.45154
박재정,2024-01-15,35.7336
박재정,2024-01-22,38.42831
박재정,2024-01-29,23.88466
박재정,2024-02-05,31.72558
박재정,2024-02-12,27.30704
박재정,2024-02-19,22.18222
박재정,2024-02-26,19.95447
박재정,2024-03-04,19.68597
박재정,2024-03-11,21.27556
박재정,2024-03-18,20.47006
박재정,2024-03-25,16.47956
박재정,2024-04-01,20.0751
박재정,2024-04-08,17.752
박재정,2024-04-15,32.72564
박재정,2024-04-22,17.81621
박재정,2024-04-29,23.49553
박재정,2024-05-06,36.90876
박재정,2024-05-13,29.06979
박재정,2024-05-20,65.27423
박재정,2024-05-27,22.76981
박재정,2024-06-03,18.74428
박재정,2024-06-10,32.2081
박재정,2024-06-17,18.88631
박재정,2024-06-24,18.50497
박재정,2024-07-01,13.68756
박재정,2024-07-08,11.58044
박재정,2024-07-15,11.65048
박재정,2024-07-22,11.57655
박재정,2024-07-29,9.57059
박재정,2024-08-05,10.25546
박재정,2024-08-12,11.65437
박재정,2024-08-19,10.89363
박재정,2024-08-26,10.60178
박재정,2024-09-02,10.91503
화사,2023-09-18,99.83246
화사,2023-09-25,60.31301
화사,2023-10-02,100.0
화사,2023-10-09,84.37561
화사,2023-10-16,54.49134
화사,2023-10-23,38.92648
화사,2023-10-30,38.02931
화사,2023-11-06,31.22451
화사,2023-11-13,21.80976
화사,2023-11-20,20.28215
화사,2023-11-27,18.22109
화사,2023-12-04,17.9191
화사,2023-12-11,19.07638
화사,2023-12-18,15.06668
화사,2023-12-25,82.42918
화사,2024-01-01,27.5675
화사,2024-01-08,24.79444
화사,2024-01-15,16.64719
화사,2024-01-22,16.58767
화사,2024-01-29,14.60156
화사,2024-02-05,14.34145
화사,2024-02-12,13.74848
화사,2024-02-19,18.28281
화사,2024-02-26,16.02336
화사,2024-03-04,19.5481
화사,2024-03-11,16.22175
화사,2024-03-18,18.78981
화사,2024-03-25,16.02557
화사,2024-04-01,18.95734
화사,2024-04-08,12.20103
화사,2024-04-15,15.34442
화사,2024-04-22,17.75818
화사,2024-04-29,13.808
화사,2024-05-06,15.75002
화사,2024-05-13,24.43072
화사,2024-05-20,15.1306
화사,2024-05-27,22.45343
화사,2024-06-03,16.88526
화사,2024-06-10,13.37154
화사,2024-06-17,15.35324
화사,2024-06-24,13.80579
화사,2024-07-01,17.04618
화사,2024-07-08,22.11396
화사,2024-07-15,24.00308
화사,2024-07-22,16.57886
화사,2024-07-29,18.62008
화사,2024-08-05,16.86762
화사,2024-08-12,33.51702
화사,2024-08-19,20.04849
화사,2024-08-26,15.4833
화사,2024-09-02,15.15044
아이브,2023-09-18,41.13978
아이브,2023-09-25,65.02992
아이브,2023-10-02,58.96604
아이브,2023-10-09,80.87776
아이브,2023-10-16,65.88661
아이브,2023-10-23,59.82729
아이브,2023-10-30,53.42082
아이브,2023-11-06,52.44462
아이브,2023-11-13,48.51881
아이브,2023-11-20,44.36674
아이브,2023-11-27,49.6752
아이브,2023-12-04,45.70423
아이브,2023-12-11,43.89278
아이브,2023-12-18,45.66044
아이브,2023-12-25,56.70525
아이브,2024-01-01,48.15387
아이브,2024-01-08,43.35267
아이브,2024-01-15,46.71055
아이브,2024-01-22,41.65298
아이브,2024-01-29,41.18175
아이브,2024-02-05,40.15719
아이브,2024-02-12,40.71098
아이브,2024-02-19,43.47127
아이브,2024-02-26,41.37745
아이브,2024-03-04,37.44161
아이브,2024-03-11,34.43088
아이브,2024-03-18,31.86172
아이브,2024-03-25,31.6829
아이브,2024-04-01,36.47133
아이브,2024-04-08,33.49436
아이브,2024-04-15,42.11188
아이브,2024-04-22,55.53244
아이브,2024-04-29,100.0
아이브,2024-05-06,65.20235
아이브,2024-05-13,58.98246
아이브,2024-05-20,48.12103
아이브,2024-05-27,39.4442
아이브,2024-06-03,39.81734
아이브,2024-06-10,35.93122
아이브,2024-06-17,34.65121
아이브,2024-06-24,32.46934
아이브,2024-07-01,32.02777
아이브,2024-07-08,30.18255
아이브,2024-07-15,29.21228
아이브,2024-07-22,32.12128
아이브,2024-07-29,34.11885
아이브,2024-08-05,38.25405
아이브,2024-08-12,33.9779
아이브,2024-08-19,30.57441
아이브,2024-08-26,31.68518
아이브,2024-09-02,27.88026
우디,2023-09-18,35.02531
우디,2023-09-25,28.46486
우디,2023-10-02,29.85303
우디,2023-10-09,25.72804
우디,2023-10-16,22.22798
우디,2023-10-23,37.18661
우디,2023-10-30,100.0
우디,2023-11-06,90.01852
우디,2023-11-13,41.76114
우디,2023-11-20,30.42855
우디,2023-11-27,31.79202
우디,2023-12-04,39.49857
우디,2023-12-11,40.82993
우디,2023-12-18,23.20118
우디,2023-12-25,14.53377
우디,2024-01-01,15.5292
우디,2024-01-08,15.64283
우디,2024-01-15,17.61393
우디,2024-01-22,14.81042
우디,2024-01-29,14.24478
우디,2024-02-05,12.58984
우디,2024-02-12,13.25676
우디,2024-02-19,13.81005
우디,2024-02-26,16.88773
우디,2024-03-04,12.18722
우디,2024-03-11,12.659
우디,2024-03-18,21.69445
우디,2024-03-25,21.77102
우디,2024-04-01,52.45399
우디,2024-04-08,30.85093
우디,2024-04-15,28.13387
우디,2024-04-22,21.84265
우디,2024-04-29,20.0247
우디,2024-05-06,22.33666
우디,2024-05-13,24.31764
우디,2024-05-20,30.02099
우디,2024-05-27,36.26528
우디,2024-06-03,16.44559
우디,2024-06-10,13.05421
우디,2024-06-17,13.72854
우디,2024-06-24,42.50463
우디,2024-07-01,21.64752
우디,2024-07-08,17.02111
우디,2024-07-15,21.78831
우디,2024-07-22,23.16413
우디,2024-07-29,27.60034
우디,2024-08-05,21.50426
우디,2024-08-12,38.80202
우디,2024-08-19,32.72076
우디,2024-08-26,40.04446
우디,2024-09-02,30.05804
스테이씨,2023-09-18,88.81968
스테이씨,2023-09-25,65.88327
스테이씨,2023-10-02,79.92148
스테이씨,2023-10-09,72.15388
스테이씨,2023-10-16,64.65323
스테이씨,2023-10-23,59.1756
스테이씨,2023-10-30,52.86312
스테이씨,2023-11-06,51.24313
스테이씨,2023-11-13,46.78094
스테이씨,2023-11-20,43.42057
스테이씨,2023-11-27,45.03009
스테이씨,2023-12-04,52.52289
스테이씨,2023-12-11,45.84925
스테이씨,2023-12-18,54.79717
스테이씨,2023-12-25,90.11253
스테이씨,2024-01-01,63.69798
스테이씨,2024-01-08,56.79141
스테이씨,2024-01-15,53.00444
스테이씨,2024-01-22,47.31745
스테이씨,2024-01-29,44.64276
스테이씨,2024-02-05,37.99528
스테이씨,2024-02-12,47.34101
스테이씨,2024-02-19,50.37163
스테이씨,2024-02-26,71.96283
스테이씨,2024-03-04,34.43862
스테이씨,2024-03-11,34.59042
스테이씨,2024-03-18,30.38471
스테이씨,2024-03-25,29.88746
스테이씨,2024-04-01,31.10442
스테이씨,2024-04-08,35.74195
스테이씨,2024-04-15,30.36377
스테이씨,2024-04-22,39.79586
스테이씨,2024-04-29,51.99424
스테이씨,2024-05-06,35.01962
스테이씨,2024-05-13,42.61711
스테이씨,2024-05-20,37.29128
스테이씨,2024-05-27,37.53205
스테이씨,2024-06-03,29.17037
스테이씨,2024-06-10,28.72023
스테이씨,2024-06-17,30.18319
스테이씨,2024-06-24,34.2973
스테이씨,2024-07-01,100.0
스테이씨,2024-07-08,75.28395
스테이씨,2024-07-15,51.27715
스테이씨,2024-07-22,41.92358
스테이씨,2024-07-29,33.62208
스테이씨,2024-08-05,36.45119
스테이씨,2024-08-12,33.82098
스테이씨,2024-08-19,25.29704
스테이씨,2024-08-26,24.67416
스테이씨,2024-09-02,26.44595
여자 아이들,2023-09-18,16.86471
여자 아이들,2023-09-25,17.8133
여자 아이들,2023-10-02,21.96364
여자 아이들,2023-10-09,18.88432
여자 아이들,2023-10-16,18.44295
여자 아이들,2023-10-23,20.43067
여자 아이들,2023-10-30,18.69913
여자 아이들,2023-11-06,21.49346
여자 아이들,2023-11-13,21.15085
여자 아이들,2023-11-20,16.3184
여자 아이들,2023-11-27,19.7753
여자 아이들,2023-12-04,16.69393
여자 아이들,2023-12-11,17.4923
여자 아이들,2023-12-18,15.41508
여자 아이들,2023-12-25,32.88578
여자 아이들,2024-01-01,19.23721
여자 아이들,2024-01-08,19.01601
여자 아이들,2024-01-15,21.28563
여자 아이들,2024-01-22,53.87306
여자 아이들,2024-01-29,100.0
여자 아이들,2024-02-05,70.64004
여자 아이들,2024-02-12,49.24843
여자 아이들,2024-02-19,38.46312
여자 아이들,2024-02-26,31.98246
여자 아이들,2024-03-04,37.46514
여자 아이들,2024-03-11,33.28086
여자 아이들,2024-03-18,50.42954
여자 아이들,2024-03-25,40.55783
여자 아이들,2024-04-01,34.61217
여자 아이들,2024-04-08,30.06368
여자 아이들,2024-04-15,28.41137
여자 아이들,2024-04-22,28.06465
여자 아이들,2024-04-29,34.34056
여자 아이들,2024-05-06,26.17673
여자 아이들,2024-05-13,22.29595
여자 아이들,2024-05-20,21.26814
여자 아이들,2024-05-27,24.18798
여자 아이들,2024-06-03,20.49034
여자 아이들,2024-06-10,19.68167
여자 아이들,2024-06-17,18.56641
여자 아이들,2024-06-24,17.74643
여자 아이들,2024-07-01,19.7434
여자 아이들,2024-07-08,54.34015
여자 아이들,2024-07-15,49.55605
여자 아이들,2024-07-22,40.19156
여자 아이들,2024-07-29,31.46804
여자 아이들,2024-08-05,36.11736
여자 아이들,2024-08-12,25.7724
여자 아이들,2024-08-19,22.66016
여자 아이들,2024-08-26,20.55721
여자 아이들,2024-09-02,18.17545
르세라핌,2023-09-18,13.20444
르세라핌,2023-09-25,12.83059
르세라핌,2023-10-02,15.0232
르세라핌,2023-10-09,14.2024
르세라핌,2023-10-16,15.0232
르세라핌,2023-10-23,28.41767
르세라핌,2023-10-30,23.58265
르세라핌,2023-11-06,20.38184
르세라핌,2023-11-13,17.3032
르세라핌,2023-11-20,19.52176
르세라핌,2023-11-27,19.79893
르세라핌,2023-12-04,16.20237
르세라핌,2023-12-11,16.99221
르세라핌,2023-12-18,15.61278
르세라핌,2023-12-25,19.52985
르세라핌,2024-01-01,18.10566
르세라핌,2024-01-08,14.04453
르세라핌,2024-01-15,14.53148
르세라핌,2024-01-22,17.47797
르세라핌,2024-01-29,17.96255
르세라핌,2024-02-05,14.77317
르세라핌,2024-02-12,17.63418
르세라핌,2024-02-19,65.39383
르세라핌,2024-02-26,51.59051
르세라핌,2024-03-04,25.6069
르세라핌,2024-03-11,19.11409
르세라핌,2024-03-18,16.23999
르세라핌,2024-03-25,15.46515
르세라핌,2024-04-01,18.50403
르세라핌,2024-04-08,18.94479
르세라핌,2024-04-15,68.41652
르세라핌,2024-04-22,100.0
르세라핌,2024-04-29,40.12101
르세라핌,2024-05-06,22.29537
르세라핌,2024-05-13,16.93197
르세라핌,2024-05-20,12.61271
르세라핌,2024-05-27,14.3267
르세라핌,2024-06-03,14.2105
르세라핌,2024-06-10,11.25829
르세라핌,2024-06-17,9.2357
르세라핌,2024-06-24,9.29071
르세라핌,2024-07-01,8.6916
르세라핌,2024-07-08,7.91176
르세라핌,2024-07-15,8.38204
르세라핌,2024-07-22,8.68755
르세라핌,2024-07-29,9.98197
르세라핌,2024-08-05,8.15416
르세라핌,2024-08-12,8.10559
르세라핌,2024-08-19,8.10511
르세라핌,2024-08-26,20.5009
르세라핌,2024-09-02,18.97408
라우브,2023-09-18,23.39981
라우브,2023-09-25,21.6056
라우브,2023-10-02,18.79329
라우브,2023-10-09,19.73629
라우브,2023-10-16,20.67929
라우브,2023-10-23,49.74547
라우브,2023-10-30,21.46374
라우브,2023-11-06,35.12476
라우브,2023-11-13,22.42343
라우브,2023-11-20,18.18409
라우브,2023-11-27,14.90444
라우브,2023-12-04,12.87657
라우브,2023-12-11,11.70825
라우브,2023-12-18,12.87657
라우브,2023-12-25,14.12834
라우브,2024-01-01,13.15196
라우브,2024-01-08,14.18676
라우브,2024-01-15,13.3439
라우브,2024-01-22,12.71801
라우브,2024-01-29,20.8295
라우브,2024-02-05,23.89218
라우브,2024-02-12,19.37745
라우브,2024-02-19,18.2592
라우브,2024-02-26,19.21054
라우브,2024-03-04,17.05749
라우브,2024-03-11,16.91563
라우브,2024-03-18,18.08395
라우브,2024-03-25,16.29808
라우브,2024-04-01,17.12425
라우브,2024-04-08,19.0353
라우브,2024-04-15,31.88683
라우브,2024-04-22,25.70307
라우브,2024-04-29,21.45539
라우브,2024-05-06,20.37052
라우브,2024-05-13,19.35241
라우브,2024-05-20,22.20645
라우브,2024-05-27,100.0
라우브,2024-06-03,56.3298
라우브,2024-06-10,16.84886
라우브,2024-06-17,14.67078
라우브,2024-06-24,13.72778
라우브,2024-07-01,32.58783
라우브,2024-07-08,19.06033
라우브,2024-07-15,14.06158
라우브,2024-07-22,12.49269
라우브,2024-07-29,10.48986
라우브,2024-08-05,10.36468
라우브,2024-08-12,10.93215
라우브,2024-08-19,11.57473
라우브,2024-08-26,12.08378
라우브,2024-09-02,10.22281
에스파,2023-09-18,23.07307
에스파,2023-09-25,25.42594
에스파,2023-10-02,25.61945
에스파,2023-10-09,28.21153
에스파,2023-10-16,22.36257
에스파,2023-10-23,22.74531
에스파,2023-10-30,26.46063
에스파,2023-11-06,49.85861
에스파,2023-11-13,51.38101
에스파,2023-11-20,54.30799
에스파,2023-11-27,43.73045
에스파,2023-12-04,36.95819
에스파,2023-12-11,37.30666
에스파,2023-12-18,29.4483
에스파,2023-12-25,51.48526
에스파,2024-01-01,36.79039
에스파,2024-01-08,31.00069
에스파,2024-01-15,32.35386
에스파,2024-01-22,27.85878
에스파,2024-01-29,25.19458
에스파,2024-02-05,26.11359
에스파,2024-02-12,29.6054
에스파,2024-02-19,32.71661
에스파,2024-02-26,95.01221
에스파,2024-03-04,39.49672
에스파,2024-03-11,24.82755
에스파,2024-03-18,30.23021
에스파,2024-03-25,20.94228
에스파,2024-04-01,22.26403
에스파,2024-04-08,20.54597
에스파,2024-04-15,20.36246
에스파,2024-04-22,61.70434
에스파,2024-04-29,32.96368
에스파,2024-05-06,32.22818
에스파,2024-05-13,82.19105
에스파,2024-05-20,82.11179
에스파,2024-05-27,100.0
에스파,2024-06-03,63.26173
에스파,2024-06-10,54.22658
에스파,2024-06-17,45.36067
에스파,2024-06-24,43.13848
에스파,2024-07-01,44.98364
에스파,2024-07-08,35.52291
에스파,2024-07-15,33.52565
에스파,2024-07-22,35.54505
에스파,2024-07-29,32.6552
에스파,2024-08-05,30.51584
에스파,2024-08-12,31.1178
에스파,2024-08-19,31.7926
에스파,2024-08-26,27.91591
에스파,2024-09-02,27.86378
로이킴,2023-09-18,38.18002
로이킴,2023-09-25,28.70222
로이킴,2023-10-02,27.76003
로이킴,2023-10-09,34.83711
로이킴,2023-10-16,54.95315
로이킴,2023-10-23,59.36867
로이킴,2023-10-30,63.74427
로이킴,2023-11-06,62.66368
로이킴,2023-11-13,72.9985
로이킴,2023-11-20,55.94857
로이킴,2023-11-27,59.21164
로이킴,2023-12-04,46.47876
로이킴,2023-12-11,51.85776
로이킴,2023-12-18,65.49292
로이킴,2023-12-25,48.09432
로이킴,2024-01-01,38.60321
로이킴,2024-01-08,82.56946
로이킴,2024-01-15,100.0
