date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,87,첫 키스에 내 심장은 120BPM,경서,꿈의엔진,1586369.0,가요 / 인디,03:19
2023-09-24,88,Rainy Days,V,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,03:00
2023-09-24,89,봄날,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,04:34
2023-09-24,90,Paint The Town Red,Doja Cat,Kemosabe Records/RCA Records,1492017.0,POP / 랩/힙합,03:52
2023-09-24,91,빛이 나는 너에게,던 (DAWN),AT AREA,,가요 / R&B/소울,02:55
2023-09-24,92,Underwater,권은비,울림 엔터테인먼트,,가요 / 댄스,02:51
2023-09-24,93,가을 타나 봐,바이브 (Vibe),메이저나인,,가요 / 발라드,03:52
2023-09-24,94,Butter,방탄소년단,BIGHIT MUSIC,4712538.0,가요 / 댄스,02:44
2023-09-24,95,다시 만날 수 있을까,임영웅,물고기뮤직,5430728.0,가요 / 발라드,04:34
2023-09-24,96,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,4173726.0,POP / 월드뮤직,03:21
2023-09-24,97,달빛에 그려지는,미연 ((여자)아이들),도너츠컬쳐,4015230.0,OST / 드라마,04:04
2023-09-24,98,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),ES Records,,가요 / 인디,04:26
2023-09-24,99,Rewrite The Stars,"Zac Efron, Zendaya",Atlantic Records,,OST / 전체,03:37
2023-09-24,100,DINOSAUR,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 일렉트로니카,04:01
2023-09-24,101,ISTJ,NCT DREAM,SM Entertainment,2295308.0,가요 / 댄스,03:05
2023-09-24,102,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M",7814217.0,가요 / 발라드,04:13
2023-09-24,103,OVER,이세계 아이돌,패러블엔터테인먼트,,가요 / 댄스,03:28
2023-09-24,104,That`s Not How This Works (feat. Dan + Shay),Charlie Puth,Atlantic Records,3727492.0,POP / 팝,02:46
2023-09-24,105,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),Ambition Musik,4067143.0,가요 / 랩/힙합,03:29
2023-09-24,106,뭣 같아,BOYNEXTDOOR,KOZ 엔터테인먼트,,가요 / 댄스,02:55
2023-09-24,107,Memories,RIIZE,SM Entertainment,,가요 / 댄스,02:58
2023-09-24,108,Heaven(2023),임재현,캔버스뮤직,,OST / 드라마,04:40
2023-09-24,109,ELEVEN,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,02:58
2023-09-24,110,アイドル,YOASOBI,YOASOBI,,J-POP / 팝,03:33
2023-09-24,111,희재,성시경,씨에스해피엔터테인먼트,3555336.0,OST / 한국영화,04:42
2023-09-24,112,Nxde,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,02:58
2023-09-24,113,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / 인디,03:09
2023-09-24,114,무지개,임영웅,물고기뮤직,5430728.0,가요 / 전체,03:16
2023-09-24,115,Shut Down,BLACKPINK,YG Entertainment,4668125.0,가요 / 랩/힙합,02:56
2023-09-24,116,나의 X에게,경서,꿈의엔진,1586369.0,가요 / 인디,03:08
